start,end,start [s],end [s],dur [s],speaker
28658,68862,1.791,4.304,2.513,SPEAKER_01
98471,187300,6.154,11.706,5.552,SPEAKER_01
214193,239456,13.387,14.966,1.579,SPEAKER_01
270696,290526,16.919,18.158,1.239,SPEAKER_01
319864,397826,19.992,24.864,4.873,SPEAKER_02
338607,352461,21.163,22.029,0.866,SPEAKER_01
420373,434227,26.273,27.139,0.866,SPEAKER_02
461392,532563,28.837,33.285,4.448,SPEAKER_02
696366,732767,43.523,45.798,2.275,SPEAKER_01
746893,801765,46.681,50.11,3.43,SPEAKER_01
889235,904448,55.577,56.528,0.951,SPEAKER_01
937317,955246,58.582,59.703,1.121,SPEAKER_00
989202,1042173,61.825,65.136,3.311,SPEAKER_00
1094601,1203803,68.413,75.238,6.825,SPEAKER_01
1301052,1323870,81.316,82.742,1.426,SPEAKER_00
1337724,1351578,83.608,84.474,0.866,SPEAKER_00
