start,end,start [s],end [s],dur [s],speaker
13174,112054,0.823,7.003,6.18,SPEAKER_04
124821,137045,7.801,8.565,0.764,SPEAKER_04
181052,184855,11.316,11.553,0.238,SPEAKER_04
246519,259830,15.407,16.239,0.832,SPEAKER_04
265806,298675,16.613,18.667,2.054,SPEAKER_04
322037,335348,20.127,20.959,0.832,SPEAKER_03
373106,373378,23.319,23.336,0.017,SPEAKER_01
373378,374736,23.336,23.421,0.085,SPEAKER_03
374736,379083,23.421,23.693,0.272,SPEAKER_04
379083,381528,23.693,23.846,0.153,SPEAKER_01
381528,382071,23.846,23.879,0.034,SPEAKER_03
452971,466281,28.311,29.143,0.832,SPEAKER_01
549677,559456,34.355,34.966,0.611,SPEAKER_00
589066,589609,36.817,36.851,0.034,SPEAKER_01
600747,610797,37.547,38.175,0.628,SPEAKER_00
691477,731137,43.217,45.696,2.479,SPEAKER_02
824855,825127,51.553,51.57,0.017,SPEAKER_02
825127,838981,51.57,52.436,0.866,SPEAKER_04
947096,959592,59.194,59.975,0.781,SPEAKER_04
