start,end,start [s],end [s],dur [s],speaker
135,35721,0.008,2.233,2.224,SPEAKER_01
57724,88964,3.608,5.56,1.952,SPEAKER_01
100101,234838,6.256,14.677,8.421,SPEAKER_01
265806,272325,16.613,17.02,0.407,SPEAKER_01
310084,346757,19.38,21.672,2.292,SPEAKER_01
354091,398641,22.131,24.915,2.784,SPEAKER_01
412767,476061,25.798,29.754,3.956,SPEAKER_01
484482,507028,30.28,31.689,1.409,SPEAKER_01
522241,535551,32.64,33.472,0.832,SPEAKER_01
560543,589066,35.034,36.817,1.783,SPEAKER_01
605365,612971,37.835,38.311,0.475,SPEAKER_01
626010,647741,39.126,40.484,1.358,SPEAKER_01
664584,675449,41.537,42.216,0.679,SPEAKER_01
677894,761833,42.368,47.615,5.246,SPEAKER_01
815076,822954,50.942,51.435,0.492,SPEAKER_01
841426,863157,52.589,53.947,1.358,SPEAKER_00
922648,926451,57.666,57.903,0.238,SPEAKER_01
