start,end,start [s],end [s],dur [s],speaker
6383,13718,0.399,0.857,0.458,SPEAKER_04
40611,52563,2.538,3.285,0.747,SPEAKER_01
85432,95483,5.34,5.968,0.628,SPEAKER_01
133242,174804,8.328,10.925,2.598,SPEAKER_01
187300,191375,11.706,11.961,0.255,SPEAKER_04
298132,307096,18.633,19.194,0.56,SPEAKER_03
362241,378811,22.64,23.676,1.036,SPEAKER_03
465195,487470,29.075,30.467,1.392,SPEAKER_02
676536,689303,42.284,43.081,0.798,SPEAKER_00
778404,794702,48.65,49.669,1.019,SPEAKER_05
799864,916129,49.992,57.258,7.267,SPEAKER_05
880000,880814,55.0,55.051,0.051,SPEAKER_04
918845,979694,57.428,61.231,3.803,SPEAKER_05
990016,992733,61.876,62.046,0.17,SPEAKER_05
