start,end,start [s],end [s],dur [s],speaker
6451,9168,0.806,1.146,0.34,SPEAKER_00
58336,85908,7.292,10.739,3.447,SPEAKER_00
105059,108047,13.132,13.506,0.374,SPEAKER_00
120814,126926,15.102,15.866,0.764,SPEAKER_00
145942,154906,18.243,19.363,1.121,SPEAKER_00
158030,169032,19.754,21.129,1.375,SPEAKER_00
184380,194159,23.048,24.27,1.222,SPEAKER_00
235721,270899,29.465,33.862,4.397,SPEAKER_00
308522,332292,38.565,41.537,2.971,SPEAKER_00
381188,399252,47.649,49.907,2.258,SPEAKER_00
429405,473548,53.676,59.194,5.518,SPEAKER_00
512122,533174,64.015,66.647,2.632,SPEAKER_00
631375,643735,78.922,80.467,1.545,SPEAKER_00
654601,667232,81.825,83.404,1.579,SPEAKER_00
678641,709745,84.83,88.718,3.888,SPEAKER_00
787436,792461,98.43,99.058,0.628,SPEAKER_00
801561,842173,100.195,105.272,5.076,SPEAKER_00
852903,855891,106.613,106.986,0.374,SPEAKER_00
918234,934940,114.779,116.868,2.088,SPEAKER_00
936977,943633,117.122,117.954,0.832,SPEAKER_00
947707,969168,118.463,121.146,2.683,SPEAKER_00
1001494,1008828,125.187,126.104,0.917,SPEAKER_00
