start,end,start [s],end [s],dur [s],speaker
6383,17792,0.399,1.112,0.713,SPEAKER_00
7198,12903,0.45,0.806,0.357,SPEAKER_01
25670,37894,1.604,2.368,0.764,SPEAKER_00
55823,69405,3.489,4.338,0.849,SPEAKER_00
93582,105534,5.849,6.596,0.747,SPEAKER_00
123735,139762,7.733,8.735,1.002,SPEAKER_00
152258,165297,9.516,10.331,0.815,SPEAKER_00
192733,209303,12.046,13.081,1.036,SPEAKER_00
251137,263904,15.696,16.494,0.798,SPEAKER_00
303837,315246,18.99,19.703,0.713,SPEAKER_00
466553,480950,29.16,30.059,0.9,SPEAKER_00
498607,508930,31.163,31.808,0.645,SPEAKER_00
582818,592869,36.426,37.054,0.628,SPEAKER_00
610526,622750,38.158,38.922,0.764,SPEAKER_00
719185,725161,44.949,45.323,0.374,SPEAKER_01
725161,726791,45.323,45.424,0.102,SPEAKER_00
726791,727062,45.424,45.441,0.017,SPEAKER_01
740916,837894,46.307,52.368,6.061,SPEAKER_01
779762,787368,48.735,49.211,0.475,SPEAKER_00
815076,825398,50.942,51.587,0.645,SPEAKER_00
945466,955789,59.092,59.737,0.645,SPEAKER_00
959864,971816,59.992,60.739,0.747,SPEAKER_00
