start,end,start [s],end [s],dur [s],speaker
9915,25942,0.62,1.621,1.002,SPEAKER_00
30288,144380,1.893,9.024,7.131,SPEAKER_00
151986,159592,9.499,9.975,0.475,SPEAKER_00
163123,185127,10.195,11.57,1.375,SPEAKER_00
198709,202784,12.419,12.674,0.255,SPEAKER_00
226146,234295,14.134,14.643,0.509,SPEAKER_00
248964,311986,15.56,19.499,3.939,SPEAKER_00
318777,338607,19.924,21.163,1.239,SPEAKER_00
351103,355993,21.944,22.25,0.306,SPEAKER_00
387232,399456,24.202,24.966,0.764,SPEAKER_00
436129,459219,27.258,28.701,1.443,SPEAKER_00
470628,490730,29.414,30.671,1.256,SPEAKER_00
510831,529575,31.927,33.098,1.171,SPEAKER_00
540441,561901,33.778,35.119,1.341,SPEAKER_00
