start,end,start [s],end [s],dur [s],speaker
24312,54736,1.52,3.421,1.902,participant
72393,87062,4.525,5.441,0.917,participant
131884,154159,8.243,9.635,1.392,participant
158505,176977,9.907,11.061,1.154,participant
217724,227775,13.608,14.236,0.628,participant
281833,293786,17.615,18.362,0.747,participant
327198,339694,20.45,21.231,0.781,participant
370118,384516,23.132,24.032,0.9,participant
479592,492359,29.975,30.772,0.798,participant
521426,539354,32.589,33.71,1.121,participant
563803,585534,35.238,36.596,1.358,participant
660237,673820,41.265,42.114,0.849,participant
731952,746621,45.747,46.664,0.917,participant
812088,827300,50.756,51.706,0.951,participant
966655,971544,60.416,60.722,0.306,participant
