start,end,start [s],end [s],dur [s],speaker
23769,129983,1.486,8.124,6.638,participant
148998,256842,9.312,16.053,6.74,participant
340237,371477,21.265,23.217,1.952,participant
397826,413853,24.864,25.866,1.002,participant
452971,466825,28.311,29.177,0.866,participant
608896,658607,38.056,41.163,3.107,participant
681697,709134,42.606,44.321,1.715,participant
738471,752054,46.154,47.003,0.849,participant
783293,798234,48.956,49.89,0.934,participant
838166,849032,52.385,53.065,0.679,participant
911239,925093,56.952,57.818,0.866,participant
956604,971816,59.788,60.739,0.951,participant
