start,end,start [s],end [s],dur [s],speaker
22682,83259,1.418,5.204,3.786,participant
94940,113684,5.934,7.105,1.171,participant
125093,141935,7.818,8.871,1.053,participant
146281,187843,9.143,11.74,2.598,participant
202784,216638,12.674,13.54,0.866,participant
220984,235382,13.812,14.711,0.9,participant
243803,261460,15.238,16.341,1.104,participant
272597,328556,17.037,20.535,3.497,participant
364957,403531,22.81,25.221,2.411,participant
414668,485297,25.917,30.331,4.414,participant
493718,515178,30.857,32.199,1.341,participant
518166,535551,32.385,33.472,1.087,participant
556468,573582,34.779,35.849,1.07,participant
587436,604006,36.715,37.75,1.036,participant
616774,689303,38.548,43.081,4.533,participant
701528,742818,43.846,46.426,2.581,participant
750424,760475,46.902,47.53,0.628,participant
770797,801222,48.175,50.076,1.902,participant
802037,823497,50.127,51.469,1.341,participant
827572,844957,51.723,52.81,1.087,participant
850933,875110,53.183,54.694,1.511,participant
887062,927538,55.441,57.971,2.53,participant
942478,951443,58.905,59.465,0.56,participant
977249,1028047,61.078,64.253,3.175,participant
1036196,1061731,64.762,66.358,1.596,participant
1075857,1167130,67.241,72.946,5.705,participant
1179354,1209779,73.71,75.611,1.902,participant
1214125,1221460,75.883,76.341,0.458,participant
1229066,1255415,76.817,78.463,1.647,participant
1267096,1309745,79.194,81.859,2.666,participant
