start,end,start [s],end [s],dur [s],speaker
135,6655,0.008,0.416,0.407,participant
55008,92767,3.438,5.798,2.36,participant
120475,140577,7.53,8.786,1.256,participant
158777,184312,9.924,11.52,1.596,participant
193005,198709,12.063,12.419,0.357,participant
220984,242444,13.812,15.153,1.341,participant
257928,272869,16.121,17.054,0.934,participant
287809,294057,17.988,18.379,0.39,participant
310084,344584,19.38,21.537,2.156,participant
391035,422818,24.44,26.426,1.986,participant
424719,445908,26.545,27.869,1.324,participant
476876,521697,29.805,32.606,2.801,participant
537724,563803,33.608,35.238,1.63,participant
569779,587707,35.611,36.732,1.121,participant
597215,610797,37.326,38.175,0.849,participant
634431,686315,39.652,42.895,3.243,participant
692292,702071,43.268,43.879,0.611,participant
717283,750696,44.83,46.919,2.088,participant
779219,785738,48.701,49.109,0.407,participant
803395,837623,50.212,52.351,2.139,participant
868862,914499,54.304,57.156,2.852,participant
947640,952801,59.228,59.55,0.323,participant
