start,end,start [s],end [s],dur [s],speaker
31646,48760,1.978,3.048,1.07,participant
51205,160950,3.2,10.059,6.859,participant
172359,231035,10.772,14.44,3.667,participant
241358,267436,15.085,16.715,1.63,participant
279117,284278,17.445,17.767,0.323,participant
294329,382071,18.396,23.879,5.484,participant
395110,431511,24.694,26.969,2.275,participant
440747,473344,27.547,29.584,2.037,participant
488556,502139,30.535,31.384,0.849,participant
523327,603463,32.708,37.716,5.008,participant
623022,634974,38.939,39.686,0.747,participant
650458,676264,40.654,42.267,1.613,participant
683327,693106,42.708,43.319,0.611,participant
