start,end,start [s],end [s],dur [s],speaker
135,28387,0.008,1.774,1.766,participant
43599,79728,2.725,4.983,2.258,participant
94397,128896,5.9,8.056,2.156,participant
134057,143293,8.379,8.956,0.577,participant
153344,208217,9.584,13.014,3.43,participant
217453,230220,13.591,14.389,0.798,participant
236468,280747,14.779,17.547,2.767,participant
286994,353820,17.937,22.114,4.177,participant
366044,402444,22.878,25.153,2.275,participant
408149,430696,25.509,26.919,1.409,participant
436943,457045,27.309,28.565,1.256,participant
465195,484482,29.075,30.28,1.205,participant
492631,517351,30.789,32.334,1.545,participant
537996,571137,33.625,35.696,2.071,participant
575483,620033,35.968,38.752,2.784,participant
632258,650458,39.516,40.654,1.138,participant
660237,687402,41.265,42.963,1.698,participant
692020,706417,43.251,44.151,0.9,participant
722716,739830,45.17,46.239,1.07,participant
746349,765636,46.647,47.852,1.205,participant
