start,end,start [s],end [s],dur [s],speaker
6112,15076,0.382,0.942,0.56,participant
20509,61528,1.282,3.846,2.564,participant
65331,75925,4.083,4.745,0.662,participant
81086,108522,5.068,6.783,1.715,participant
110152,166383,6.885,10.399,3.514,participant
171816,181595,10.739,11.35,0.611,participant
185398,211748,11.587,13.234,1.647,participant
214465,282920,13.404,17.683,4.278,participant
292699,307096,18.294,19.194,0.9,participant
344584,358981,21.537,22.436,0.9,participant
365772,437758,22.861,27.36,4.499,participant
439388,467096,27.462,29.194,1.732,participant
471171,511646,29.448,31.978,2.53,participant
516808,550764,32.301,34.423,2.122,participant
