start,end,start [s],end [s],dur [s],speaker
8285,46315,0.518,2.895,2.377,participant
53378,97113,3.336,6.07,2.733,participant
104719,135687,6.545,8.48,1.935,participant
146553,170730,9.16,10.671,1.511,participant
175891,223701,10.993,13.981,2.988,participant
226417,247062,14.151,15.441,1.29,participant
254397,281561,15.9,17.598,1.698,participant
291884,331816,18.243,20.739,2.496,participant
344855,373378,21.553,23.336,1.783,participant
393208,426621,24.576,26.664,2.088,participant
439932,504855,27.496,31.553,4.058,participant
527945,603735,32.997,37.733,4.737,participant
623565,643667,38.973,40.229,1.256,participant
650730,681154,40.671,42.572,1.902,participant
697453,833820,43.591,52.114,8.523,participant
850662,879185,53.166,54.949,1.783,participant
894397,923191,55.9,57.699,1.8,participant
949269,1010933,59.329,63.183,3.854,participant
1013106,1029134,63.319,64.321,1.002,participant
1032393,1056298,64.525,66.019,1.494,participant
1070424,1109541,66.902,69.346,2.445,participant
1120135,1142954,70.008,71.435,1.426,participant
1155449,1183972,72.216,73.998,1.783,participant
1193752,1207606,74.61,75.475,0.866,participant
1216027,1259762,76.002,78.735,2.733,participant
1279320,1288556,79.958,80.535,0.577,participant
1299422,1362716,81.214,85.17,3.956,participant
1364889,1400475,85.306,87.53,2.224,participant
1409168,1461867,88.073,91.367,3.294,participant
1478166,1521901,92.385,95.119,2.733,participant
1527877,1550152,95.492,96.885,1.392,participant
1565365,1577860,97.835,98.616,0.781,participant
1581392,1660713,98.837,103.795,4.958,participant
1671578,1681629,104.474,105.102,0.628,participant
1696842,1721833,106.053,107.615,1.562,participant
1727266,1740033,107.954,108.752,0.798,participant
1746010,1812292,109.126,113.268,4.143,participant
1823429,1856298,113.964,116.019,2.054,participant
1871782,1891612,116.986,118.226,1.239,participant
1905738,1944855,119.109,121.553,2.445,participant
1966315,2047266,122.895,127.954,5.059,participant
