start,end,start [s],end [s],dur [s],speaker
34634,47674,2.165,2.98,0.815,participant
68862,143293,4.304,8.956,4.652,participant
152801,209303,9.55,13.081,3.531,participant
253582,262818,15.849,16.426,0.577,participant
267164,287809,16.698,17.988,1.29,participant
291341,361154,18.209,22.572,4.363,participant
375823,392665,23.489,24.542,1.053,participant
423633,448624,26.477,28.039,1.562,participant
461120,504855,28.82,31.553,2.733,participant
530662,546417,33.166,34.151,0.985,participant
625195,682784,39.075,42.674,3.599,participant
686315,730322,42.895,45.645,2.75,participant
745534,794974,46.596,49.686,3.09,participant
807741,819422,50.484,51.214,0.73,participant
825398,885432,51.587,55.34,3.752,participant
903361,916129,56.46,57.258,0.798,participant
920747,950084,57.547,59.38,1.834,participant
972631,983769,60.789,61.486,0.696,participant
993820,1094601,62.114,68.413,6.299,participant
1117691,1133174,69.856,70.823,0.968,participant
1144584,1167674,71.537,72.98,1.443,participant
1198641,1209235,74.915,75.577,0.662,participant
1217385,1279049,76.087,79.941,3.854,participant
1301595,1324414,81.35,82.776,1.426,participant
1349405,1356468,84.338,84.779,0.441,participant
