start,end,start [s],end [s],dur [s],speaker
135,16162,0.008,1.01,1.002,participant
38166,127538,2.385,7.971,5.586,participant
141935,157962,8.871,9.873,1.002,participant
162580,214193,10.161,13.387,3.226,participant
224516,235925,14.032,14.745,0.713,participant
246791,318777,15.424,19.924,4.499,participant
332903,347028,20.806,21.689,0.883,participant
364142,442920,22.759,27.683,4.924,participant
451341,486112,28.209,30.382,2.173,participant
490458,505127,30.654,31.57,0.917,participant
521426,565976,32.589,35.374,2.784,participant
580645,615959,36.29,38.497,2.207,participant
619219,733039,38.701,45.815,7.114,participant
743361,751239,46.46,46.952,0.492,participant
758302,775959,47.394,48.497,1.104,participant
791714,939490,49.482,58.718,9.236,participant
945195,964210,59.075,60.263,1.188,participant
973718,1002512,60.857,62.657,1.8,participant
1015280,1073955,63.455,67.122,3.667,participant
1095959,1176095,68.497,73.506,5.008,participant
1183972,1315993,73.998,82.25,8.251,participant
1359728,1383089,84.983,86.443,1.46,participant
1422478,1635721,88.905,102.233,13.328,participant
1639524,1662342,102.47,103.896,1.426,participant
1665602,1688421,104.1,105.526,1.426,participant
1701731,1714499,106.358,107.156,0.798,participant
1719388,1798438,107.462,112.402,4.941,participant
1819898,1905466,113.744,119.092,5.348,participant
1915517,1928013,119.72,120.501,0.781,participant
1933989,2072801,120.874,129.55,8.676,participant
2080135,2152665,130.008,134.542,4.533,participant
2161086,2224380,135.068,139.024,3.956,participant
