start,end,start [s],end [s],dur [s],speaker
82988,125365,5.187,7.835,2.649,participant
133514,145195,8.345,9.075,0.73,participant
151714,167470,9.482,10.467,0.985,participant
178336,209575,11.146,13.098,1.952,participant
226960,262818,14.185,16.426,2.241,participant
282648,294872,17.666,18.43,0.764,participant
356536,370118,22.284,23.132,0.849,participant
393752,455959,24.61,28.497,3.888,participant
461663,481494,28.854,30.093,1.239,participant
497792,517623,31.112,32.351,1.239,participant
525500,541256,32.844,33.829,0.985,participant
569779,631443,35.611,39.465,3.854,participant
702071,760475,43.879,47.53,3.65,participant
769168,781935,48.073,48.871,0.798,participant
862342,876196,53.896,54.762,0.866,participant
953073,965840,59.567,60.365,0.798,participant
1026417,1045704,64.151,65.357,1.205,participant
