start,end,start [s],end [s],dur [s],speaker
11273,62886,0.705,3.93,3.226,participant
72665,85704,4.542,5.357,0.815,participant
107979,209032,6.749,13.065,6.316,participant
219083,277215,13.693,17.326,3.633,participant
285908,364685,17.869,22.793,4.924,participant
376638,489643,23.54,30.603,7.063,participant
502139,518438,31.384,32.402,1.019,participant
525772,549405,32.861,34.338,1.477,participant
557283,673005,34.83,42.063,7.233,participant
679524,738743,42.47,46.171,3.701,participant
747164,850118,46.698,53.132,6.435,participant
