start,end,start [s],end [s],dur [s],speaker
98200,103089,6.138,6.443,0.306,participant
113140,144923,7.071,9.058,1.986,participant
157419,161765,9.839,10.11,0.272,participant
166383,181324,10.399,11.333,0.934,participant
194634,222071,12.165,13.879,1.715,participant
226960,250594,14.185,15.662,1.477,participant
264448,283735,16.528,17.733,1.205,participant
296774,317691,18.548,19.856,1.307,participant
326383,413853,20.399,25.866,5.467,participant
429881,448624,26.868,28.039,1.171,participant
457317,489371,28.582,30.586,2.003,participant
513276,533106,32.08,33.319,1.239,participant
548862,562988,34.304,35.187,0.883,participant
586621,623565,36.664,38.973,2.309,participant
641765,658607,40.11,41.163,1.053,participant
662139,677623,41.384,42.351,0.968,participant
703429,715653,43.964,44.728,0.764,participant
726519,742275,45.407,46.392,0.985,participant
761833,794974,47.615,49.686,2.071,participant
811273,816162,50.705,51.01,0.306,participant
821867,844685,51.367,52.793,1.426,participant
854465,898471,53.404,56.154,2.75,participant
933242,949269,58.328,59.329,1.002,participant
987572,1000067,61.723,62.504,0.781,participant
1023701,1053310,63.981,65.832,1.851,participant
1087266,1106281,67.954,69.143,1.188,participant
