start,end,start [s],end [s],dur [s],speaker
140033,193548,8.752,12.097,3.345,participant
245432,297317,15.34,18.582,3.243,participant
312529,384244,19.533,24.015,4.482,participant
424176,470356,26.511,29.397,2.886,participant
508387,553208,31.774,34.576,2.801,participant
586078,624651,36.63,39.041,2.411,participant
637691,699898,39.856,43.744,3.888,participant
719185,740373,44.949,46.273,1.324,participant
766994,821052,47.937,51.316,3.379,participant
872393,895483,54.525,55.968,1.443,participant
900101,953887,56.256,59.618,3.362,participant
969643,991646,60.603,61.978,1.375,participant
1091341,1108183,68.209,69.261,1.053,participant
1157079,1242376,72.317,77.649,5.331,participant
1252427,1336638,78.277,83.54,5.263,participant
1351035,1392869,84.44,87.054,2.615,participant
1393684,1409168,87.105,88.073,0.968,participant
1492835,1555857,93.302,97.241,3.939,participant
1576774,1592801,98.548,99.55,1.002,participant
1599592,1614533,99.975,100.908,0.934,participant
1641697,1652563,102.606,103.285,0.679,participant
1688421,1719117,105.526,107.445,1.919,participant
1746281,1763123,109.143,110.195,1.053,participant
1768556,1809575,110.535,113.098,2.564,participant
1835653,1873684,114.728,117.105,2.377,participant
1875857,1913887,117.241,119.618,2.377,participant
1917962,1954634,119.873,122.165,2.292,participant
1982614,2106213,123.913,131.638,7.725,participant
2136638,2202105,133.54,137.632,4.092,participant
