start,end,start [s],end [s],dur [s],speaker
19422,32733,1.214,2.046,0.832,participant
82173,97928,5.136,6.121,0.985,participant
137317,166926,8.582,10.433,1.851,participant
190016,194091,11.876,12.131,0.255,participant
208760,219626,13.048,13.727,0.679,participant
266621,276672,16.664,17.292,0.628,participant
329915,345127,20.62,21.57,0.951,participant
401086,410594,25.068,25.662,0.594,participant
428522,446994,26.783,27.937,1.154,participant
554838,568964,34.677,35.56,0.883,participant
656434,669473,41.027,41.842,0.815,participant
822682,839796,51.418,52.487,1.07,participant
