start,end,start [s],end [s],dur [s],speaker
60169,115585,3.761,7.224,3.463,participant
132427,151171,8.277,9.448,1.171,participant
156061,171816,9.754,10.739,0.985,participant
195721,235925,12.233,14.745,2.513,participant
253582,351103,15.849,21.944,6.095,participant
358166,363870,22.385,22.742,0.357,participant
386960,446179,24.185,27.886,3.701,participant
461935,490730,28.871,30.671,1.8,participant
497521,531205,31.095,33.2,2.105,participant
543972,640135,33.998,40.008,6.01,participant
648828,710492,40.552,44.406,3.854,participant
716468,739015,44.779,46.188,1.409,participant
