start,end,start [s],end [s],dur [s],speaker
6112,17792,0.382,1.112,0.73,participant
25398,98200,1.587,6.138,4.55,participant
112869,150356,7.054,9.397,2.343,participant
156061,175619,9.754,10.976,1.222,participant
179694,212835,11.231,13.302,2.071,participant
221799,239728,13.862,14.983,1.121,participant
250865,308183,15.679,19.261,3.582,participant
323395,363599,20.212,22.725,2.513,participant
372835,388590,23.302,24.287,0.985,participant
402988,473616,25.187,29.601,4.414,participant
521154,528488,32.572,33.031,0.458,participant
534193,578200,33.387,36.138,2.75,participant
604006,620848,37.75,38.803,1.053,participant
623565,652088,38.973,40.756,1.783,participant
671646,687945,41.978,42.997,1.019,participant
692020,720271,43.251,45.017,1.766,participant
752597,773242,47.037,48.328,1.29,participant
808556,820509,50.535,51.282,0.747,participant
821324,828387,51.333,51.774,0.441,participant
836264,853106,52.267,53.319,1.053,participant
866146,910152,54.134,56.885,2.75,participant
951714,969915,59.482,60.62,1.138,participant
1000611,1036740,62.538,64.796,2.258,participant
1068794,1072597,66.8,67.037,0.238,participant
