start,end,start [s],end [s],dur [s],speaker
3938,9371,0.246,0.586,0.34,participant
19151,60713,1.197,3.795,2.598,participant
62614,97113,3.913,6.07,2.156,participant
102818,106893,6.426,6.681,0.255,participant
111239,172631,6.952,10.789,3.837,participant
173718,204414,10.857,12.776,1.919,participant
206044,234567,12.878,14.66,1.783,participant
242716,262818,15.17,16.426,1.256,participant
266621,284821,16.664,17.801,1.138,participant
303565,367130,18.973,22.946,3.973,participant
369303,372835,23.081,23.302,0.221,participant
389134,413853,24.321,25.866,1.545,participant
424719,433140,26.545,27.071,0.526,participant
439660,479320,27.479,29.958,2.479,participant
488285,534736,30.518,33.421,2.903,participant
535551,539626,33.472,33.727,0.255,participant
550220,561358,34.389,35.085,0.696,participant
570594,612971,35.662,38.311,2.649,participant
625195,646655,39.075,40.416,1.341,participant
653718,693378,40.857,43.336,2.479,participant
708590,715925,44.287,44.745,0.458,participant
723803,747164,45.238,46.698,1.46,participant
756400,764278,47.275,47.767,0.492,participant
765093,824040,47.818,51.503,3.684,participant
825398,831103,51.587,51.944,0.357,participant
846859,880271,52.929,55.017,2.088,participant
886519,915314,55.407,57.207,1.8,participant
919117,929711,57.445,58.107,0.662,participant
932156,937317,58.26,58.582,0.323,participant
940577,965297,58.786,60.331,1.545,participant
967470,981867,60.467,61.367,0.9,participant
988930,1039728,61.808,64.983,3.175,participant
1042988,1107911,65.187,69.244,4.058,participant
1117147,1121494,69.822,70.093,0.272,participant
1129371,1131816,70.586,70.739,0.153,participant
1136162,1185331,71.01,74.083,3.073,participant
1206791,1264108,75.424,79.007,3.582,participant
1271986,1285840,79.499,80.365,0.866,participant
1337181,1347775,83.574,84.236,0.662,participant
1436332,1504787,89.771,94.049,4.278,participant
1515382,1548794,94.711,96.8,2.088,participant
1563735,1591714,97.733,99.482,1.749,participant
1603667,1627028,100.229,101.689,1.46,participant
1637079,1640611,102.317,102.538,0.221,participant
1650662,1655551,103.166,103.472,0.306,participant
