start,end,start [s],end [s],dur [s],speaker
65602,102003,4.1,6.375,2.275,participant
118573,144651,7.411,9.041,1.63,participant
166655,183769,10.416,11.486,1.07,participant
228862,242988,14.304,15.187,0.883,participant
283191,295687,17.699,18.48,0.781,participant
344584,361426,21.537,22.589,1.053,participant
409779,419558,25.611,26.222,0.611,participant
458132,470356,28.633,29.397,0.764,participant
524957,537181,32.81,33.574,0.764,participant
587979,602648,36.749,37.666,0.917,participant
706146,730050,44.134,45.628,1.494,participant
871850,885976,54.491,55.374,0.883,participant
