start,end,start [s],end [s],dur [s],speaker
46044,63972,2.878,3.998,1.121,participant
87334,103633,5.458,6.477,1.019,participant
120475,135687,7.53,8.48,0.951,participant
257928,288081,16.121,18.005,1.885,participant
298404,323938,18.65,20.246,1.596,participant
330186,339422,20.637,21.214,0.577,participant
367945,378811,22.997,23.676,0.679,participant
407334,422003,25.458,26.375,0.917,participant
482580,491544,30.161,30.722,0.56,participant
633887,649100,39.618,40.569,0.951,participant
675449,687945,42.216,42.997,0.781,participant
730865,741460,45.679,46.341,0.662,participant
828658,838981,51.791,52.436,0.645,participant
863972,876468,53.998,54.779,0.781,participant
