start,end,start [s],end [s],dur [s],speaker
50726,177635,2.301,8.056,5.756,SPEAKER_00
209456,225179,9.499,10.212,0.713,SPEAKER_00
287698,300052,13.048,13.608,0.56,SPEAKER_00
320642,342355,14.542,15.526,0.985,SPEAKER_00
380540,414981,17.258,18.82,1.562,SPEAKER_00
475254,498464,21.553,22.606,1.053,SPEAKER_00
569219,636604,25.815,28.871,3.056,SPEAKER_00
676661,691261,30.688,31.35,0.662,SPEAKER_00
724580,781109,32.861,35.424,2.564,SPEAKER_00
852986,868710,38.684,39.397,0.713,SPEAKER_00
918874,933100,41.672,42.317,0.645,SPEAKER_00
1019578,1045035,46.239,47.394,1.154,SPEAKER_00
1143492,1162585,51.859,52.725,0.866,SPEAKER_00
1200021,1230345,54.423,55.798,1.375,SPEAKER_00
1265909,1279012,57.411,58.005,0.594,SPEAKER_00
