start,end,start [s],end [s],dur [s],speaker
49228,263364,2.233,11.944,9.711,SPEAKER_00
301175,390648,13.659,17.716,4.058,SPEAKER_00
456536,477126,20.705,21.638,0.934,SPEAKER_00
590183,623876,26.766,28.294,1.528,SPEAKER_00
719339,791216,32.623,35.883,3.26,SPEAKER_00
834268,852612,37.835,38.667,0.832,SPEAKER_00
967167,1002357,43.862,45.458,1.596,SPEAKER_01
1113543,1144615,50.501,51.91,1.409,SPEAKER_01
1144615,1145738,51.91,51.961,0.051,SPEAKER_00
1145738,1152477,51.961,52.267,0.306,SPEAKER_01
1152477,1173816,52.267,53.234,0.968,SPEAKER_00
1173816,1174564,53.234,53.268,0.034,SPEAKER_01
1226227,1322812,55.611,59.992,4.38,SPEAKER_00
